,nuc,aexp,nd,ns,age,asexp,la,ld
10090,1.3,0.0,3.5,1,88.0,0.2322067492728804,429.0,15
10447,6.0,174.5,3.0,1,56.75,0.2322067492728804,429.0,107.0
9374,0.927710843373494,71.0,5.0,3,191.744186046512,0.8528025673134925,623.0,117
9400,1.6666666666666698,174.5,3.0,1,3.5833333333333304,0.2322067492728804,623.0,36.0
9763,3.14285714285714,174.5,5.0,2.5,18.1428571428571,2.0,623.0,107.0
10143,18.1875,174.5,14.0,3.0,1.15625,0.8528025673134925,623.0,4
9496,1.72,174.5,5.0,1,199.0,0.2322067492728804,623.0,99
9541,1.33333333333333,174.5,5.0,1,3.845238095238095,0.2322067492728804,623.0,19
9942,4.46875,106.0,5.0,1,3.845238095238095,641.0,623.0,454
9862,22.67307692307689,174.5,14.0,5.0,8.846153846153848,0.8528025673134925,429.0,610
9591,2.17171717171717,174.5,5.0,2.5,13.3737373737374,0.2322067492728804,623.0,237
9532,27.1818181818182,174.5,5.0,3,147.272727272727,0.8528025673134925,623.0,36.0
9438,1.22222222222222,174.5,5.0,1,1.05555555555556,0.2322067492728804,623.0,36.0
9450,3.375,174.5,6,1,3.845238095238095,0.2322067492728804,623.0,4.0
10093,4.34615384615385,174.5,5.0,2.5,8.23076923076923,641.0,623.0,56
10092,30.490000000000002,174.5,5.0,1,5.13333333333333,0.2322067492728804,623.0,5
9617,2.57142857142857,71.0,5.0,2,9.0,0.2322067492728804,623.0,3406.0
9397,0.549019607843137,71.0,5.0,1,3.5098039215686296,0.2322067492728804,623.0,3406.0
10112,5.892857142857139,174.5,5.0,2.5,14.7857142857143,641.0,623.0,124
9356,1.9,106.0,3,2,3.845238095238095,0.8528025673134925,623.0,3406.0
10105,0.181818181818182,174.5,5.0,1,2.45454545454545,0.2322067492728804,623.0,3406.0
11334,16.7096774193548,174.5,12,5.0,29.3225806451613,0.8528025673134925,623.0,3406.0
10740,2.46666666666667,174.5,5.0,3,199.0,0.8528025673134925,623.0,46
9361,1.9736842105263148,174.5,5,2.5,1.4888888888888898,0.2322067492728804,623.0,130
11475,3.88888888888889,106.0,5.0,3,85.0,0.8528025673134925,429.0,3406.0
10900,11.75,174.5,5.0,6,126.2,0.8528025673134925,429.0,3406.0
11370,10.5833333333333,174.5,5.0,2,15.166666666666698,0.2322067492728804,623.0,36.0
9403,1.9736842105263148,174.5,14.0,1,2.125,0.2322067492728804,623.0,155
9469,0.470588235294118,174.5,4,2.5,3.23529411764706,0.2322067492728804,623.0,36.0
9371,1.9736842105263148,174.5,2,1,0.166666666666667,0.8528025673134925,623.0,0
9393,1.18032786885246,71.0,7,2.5,3.04918032786885,0.2322067492728804,623.0,3406.0
10958,8.80952380952381,106.0,5.0,1,3.845238095238095,641.0,623.0,259
9491,0.927710843373494,174.5,15,1,7.196428571428571,0.2322067492728804,623.0,3406.0
9406,1.375,174.5,12,2.5,3.845238095238095,0.2322067492728804,623.0,1513
9550,1.85714285714286,174.5,9,2.5,0.166666666666667,641.0,623.0,86
9370,1.9736842105263148,106.0,11,1,3.845238095238095,0.2322067492728804,623.0,880
9417,0.581395348837209,174.5,16.0,1,1.48837209302326,0.2322067492728804,623.0,64.5
9533,1.57692307692308,174.5,11,1,0.166666666666667,0.2322067492728804,623.0,18.0
9378,2.136666666666665,106.0,20,1,9.82954545454546,641.0,623.0,3406.0
11268,8.368421052631579,71.0,5.0,1,3.845238095238095,0.8528025673134925,623.0,844
9557,30.490000000000002,174.5,17,1,4.78846153846154,641.0,623.0,3406.0
9432,2.48148148148148,71.0,16,2.5,3.97435897435897,0.2322067492728804,623.0,22
9655,0.927710843373494,71.0,2,2,199.0,0.2322067492728804,623.0,161
9552,30.490000000000002,174.5,16.0,2,83.725,0.2322067492728804,623.0,1060
9523,0.927710843373494,174.5,9,1,4.15384615384615,0.2322067492728804,623.0,3406.0
9513,2.48148148148148,174.5,9,2.5,7.83720930232558,0.2322067492728804,623.0,639
9561,0.927710843373494,174.5,14,2,30.8157894736842,0.8528025673134925,623.0,3406.0
9680,2.3454545454545497,174.5,14.0,1,199.0,0.2322067492728804,623.0,993
9430,2.48148148148148,71.0,4,2.5,104.666666666667,0.2322067492728804,623.0,46
9685,1.3,2,7.5,3.5,0.952380952380952,0.2322067492728804,623.0,45
9606,1.34146341463415,71.0,16.0,1,3.845238095238095,0.2322067492728804,623.0,680
9564,2.48148148148148,174.5,14.0,2,22.46428571428569,0.8528025673134925,623.0,1588
9777,30.490000000000002,174.5,16.0,1,12.5853658536585,641.0,623.0,276
9558,1.35,71.0,9,2.5,6.67741935483871,0.8528025673134925,623.0,27
9738,4.075,174.5,14.0,2,9.525,0.2322067492728804,623.0,3406.0
9750,25.722826086956502,174.5,16.0,2,64.8275862068966,0.2322067492728804,429.0,293
9586,1.3,1281.0,3,2,199.0,0.8528025673134925,623.0,1807
9781,12.5714285714286,174.5,14.0,11,3.845238095238095,0.8528025673134925,623.0,417
9827,0.333333333333333,174.5,9,2.5,2.80952380952381,0.2322067492728804,623.0,16.5
9822,30.490000000000002,71.0,3,1,6.67741935483871,0.2322067492728804,623.0,13
9824,2.42857142857143,106.0,12,1,199.0,641.0,429.0,3406.0
9780,30.490000000000002,71.0,2,2,5.23809523809524,0.2322067492728804,623.0,3406.0
9836,1.3,106.0,17,1,199.0,641.0,623.0,411
9704,2.04615384615385,106.0,19,2,3.845238095238095,0.8528025673134925,623.0,107.0
9969,0.0,174.5,2,2.5,2.9107142857142847,641.0,623.0,0
9877,1.35714285714286,106.0,7,1,6.67741935483871,641.0,623.0,3406.0
9806,30.490000000000002,174.5,5,2.5,71.5714285714286,0.2322067492728804,623.0,29
9949,30.490000000000002,1281.0,3,3.5,23.4545454545455,0.8528025673134925,623.0,365
10054,29.755102040816308,174.5,15,6.5,490.692307692308,0.8528025673134925,623.0,551
9779,25.722826086956502,174.5,6,2,1.55555555555556,0.2322067492728804,429.0,36.0
9977,25.722826086956502,106.0,8,1,9.75,641.0,623.0,3406.0
9979,1.3,106.0,19,1,19.5833333333333,641.0,429.0,3406.0
9711,25.722826086956502,174.5,10,5,490.692307692308,0.2322067492728804,429.0,95
10006,2.35106382978723,106.0,29,3.5,199.0,0.8528025673134925,623.0,1167
10017,30.490000000000002,174.5,14.0,1,19.8166666666667,0.2322067492728804,623.0,1060
10089,30.490000000000002,106.0,7,6.5,3.845238095238095,0.520590008959613,623.0,166
10258,6.325,174.5,14.0,2,11.725,0.8528025673134925,429.0,3406.0
10193,3.63636363636364,174.5,13,2.5,18.772727272727305,0.2322067492728804,623.0,36.0
10225,1.3,174.5,10,2.5,34.448979591836704,641.0,623.0,527
10182,30.490000000000002,174.5,9,1,2.26315789473684,641.0,623.0,154.0
10060,0.7142857142857142,174.5,3,2.5,21.71428571428569,641.0,623.0,3406.0
10201,21.1538461538462,174.5,7.5,1,9.69230769230769,641.0,623.0,3406.0
10285,2.48148148148148,174.5,2,2,199.0,0.2322067492728804,623.0,31
10108,1.58823529411765,174.5,4,2.5,99.0588235294118,0.8528025673134925,623.0,107.0
10209,2.9,174.5,3,1,3.845238095238095,0.2322067492728804,623.0,36.0
10192,30.490000000000002,174.5,12,1,2.2727272727272703,641.0,623.0,154.0
10443,1.3,174.5,2,1,3.845238095238095,0.2322067492728804,623.0,1120
10109,31.2,106.0,2,2.5,3.845238095238095,641.0,623.0,11
10319,3.93333333333333,174.5,16.0,1,0.166666666666667,0.2322067492728804,623.0,45
10818,1.3,174.5,12,4,3.845238095238095,0.8528025673134925,623.0,87
10325,1.6,71.0,5,1,199.0,0.8528025673134925,623.0,31.0
10741,25.722826086956502,174.5,3,2,3.845238095238095,0.8528025673134925,623.0,1773
10916,30.490000000000002,71.0,11,3.5,7.4482758620689715,0.2322067492728804,623.0,160
10470,30.490000000000002,174.5,7,2,2.9107142857142847,0.8528025673134925,623.0,1
11156,2.63333333333333,174.5,14.0,1,21.4333333333333,641.0,623.0,3406.0
10490,0.5957446808510639,174.5,14.0,2.5,6.4893617021276615,0.2322067492728804,623.0,220
10499,2.10714285714286,106.0,7,3.5,37.4285714285714,0.2322067492728804,429.0,3406.0
11039,8.08695652173913,174.5,5,1,3.845238095238095,641.0,623.0,3406.0
11277,1.9736842105263148,174.5,3,1,2.9107142857142847,0.2322067492728804,623.0,0
11249,30.490000000000002,777.0,5,1,199.0,0.2322067492728804,218.0,315
11276,0.0,174.5,1,1,2.9107142857142847,0.8528025673134925,623.0,107.0
11346,16.1,174.5,10,4,3.845238095238095,0.8528025673134925,623.0,3406.0
11304,1.3,174.5,14,2.5,21.0877192982456,641.0,623.0,1364
11159,30.490000000000002,174.5,14.0,1,28.084745762711897,0.2322067492728804,623.0,216
11390,1.9736842105263148,174.5,1,1,2.9107142857142847,641.0,623.0,0
11278,4.66666666666667,174.5,7.5,1,199.0,0.2322067492728804,623.0,323
11616,4.64285714285714,106.0,8,1,3.845238095238095,641.0,623.0,154.0
11435,0.7928571428571429,106.0,7,1,199.0,641.0,623.0,1
11496,1.3,174.5,3,2.5,22.619047619047603,641.0,623.0,198
