,nuc,aexp,ndev,nd,age,asexp,la,ld
7275,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7276,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7281,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7284,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7289,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7295,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7297,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7307,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7308,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7309,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7313,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7315,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7321,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7323,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7325,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7327,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7329,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7345,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7349,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7350,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7354,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7355,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7358,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7360,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7366,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7367,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7368,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7371,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7372,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7377,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7381,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7387,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7398,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7402,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7403,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7406,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7409,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7411,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7418,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7425,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7429,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7436,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7446,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7451,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7457,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7465,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7467,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7469,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7479,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7480,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7481,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7498,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7509,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7511,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7512,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7517,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7518,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7522,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7523,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7529,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7542,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7545,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7548,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7556,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7576,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7578,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7593,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7598,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7610,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7612,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7627,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7635,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7636,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7638,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7641,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7642,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7646,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7656,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7657,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7665,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7667,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7672,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7678,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7682,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7683,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7690,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7691,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7699,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7704,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7709,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7711,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7718,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7725,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7727,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7730,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7733,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7735,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7739,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7746,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7747,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7754,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7759,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7760,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7767,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7771,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7774,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7778,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7783,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7787,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7795,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7797,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7803,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7809,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7810,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7816,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7826,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7838,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7843,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7846,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7853,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7855,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7859,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7860,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7863,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7869,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7870,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7875,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7885,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7886,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7890,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7891,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7895,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7898,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7901,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7902,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7904,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7905,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7918,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7925,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7926,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7928,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7933,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7942,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7949,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7953,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7958,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7966,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7972,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7976,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7977,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7986,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7991,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7993,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
7995,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8005,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8014,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8016,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8017,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8020,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8022,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8023,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8033,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8035,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8036,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8039,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8040,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8046,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8050,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8053,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8058,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8059,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8062,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8065,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8081,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8086,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8089,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8093,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8104,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8110,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8114,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8116,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8121,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8122,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8123,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8135,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8138,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8139,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8143,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8144,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8146,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8149,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8150,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8162,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8171,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8182,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8183,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8184,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8185,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8191,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8197,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8200,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8216,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8217,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8228,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8229,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8236,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8247,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8252,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8258,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8263,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8267,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8276,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8277,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8296,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8298,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8305,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8319,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8338,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8345,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8407,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8417,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8432,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8472,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8475,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8484,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8496,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8507,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8509,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8514,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8522,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8554,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8565,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8591,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8595,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8599,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8612,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8632,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8660,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8661,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8676,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8684,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
8693,105.333333333333,608.0,5.095833333333335,2,11.142857142857098,51.0,35.0,49.0
