project,model,explainer,test_idx,dist_orig,dist_flip,dist_orig_norm,dist_flip_norm,delta,delta_norm,num_feats_changed
apache_activemq,RandomForest,LIME,5214,2.4598750224602153,1.7211772584470728,0.07592833338211737,0.05312713836916151,-0.7386977640131425,-0.02280119501295586,2
apache_activemq,RandomForest,LIME,5236,4.21846764449951,4.1592800540407815,0.13021036221299107,0.12838343399127192,-0.05918759045872868,-0.001826928221719144,2
apache_activemq,RandomForest,LIME,5294,2.1667129563120695,2.2382005849565116,0.06687937484144144,0.06908596519698866,0.07148762864444214,0.002206590355547217,1
apache_activemq,RandomForest,LIME,5249,10.282707182782373,10.277977376354581,0.31739369354794944,0.3172476998222507,-0.0047298064277914165,-0.00014599372569873583,1
apache_activemq,RandomForest,LIME,5321,1.471605891256426,1.5013581346033305,0.04542368278801979,0.046342037676411756,0.029752243346904406,0.0009183548883919682,1
apache_activemq,RandomForest,LIME,5337,7.704417368652015,7.738264448579661,0.23781028106741828,0.23885503022958796,0.033847079927645574,0.0010447491621696854,1
apache_activemq,RandomForest,LIME,5274,1.2655070201856455,2.5703327790233894,0.039062081629644946,0.07933780471232398,1.3048257588377439,0.04027572308267903,3
apache_activemq,RandomForest,LIME,5356,1.0731960771627802,1.6939486607773648,0.033126068921053915,0.05228668020664664,0.6207525836145846,0.01916061128559273,2
apache_activemq,RandomForest,LIME,5379,31.214497937349986,31.335362254833992,0.9634899269687823,0.9672206149542026,0.12086431748400628,0.0037306879854202553,1
apache_activemq,RandomForest,LIME,5322,1.1732518541098742,1.1226517804636582,0.03621446500600932,0.03465260547010206,-0.05060007364621599,-0.0015618595359072627,1
apache_activemq,RandomForest,LIME,5386,1.6412872464837391,2.6917006365172105,0.050661193796015434,0.08308403533848303,1.0504133900334713,0.0324228415424676,2
apache_activemq,RandomForest,LIME,5389,2.3102425473684223,2.374991794266668,0.07130966603120532,0.07330826448024931,0.0647492468982458,0.00199859844904399,1
apache_activemq,RandomForest,LIME,5416,32.49316142771119,32.54063430137877,1.0029581059995152,1.0044234390532383,0.04747287366758002,0.0014653330537232423,1
apache_activemq,RandomForest,LIME,5390,2.6707341560679563,2.7512353711899578,0.08243686834712571,0.08492167877189913,0.08050121512200148,0.002484810424773413,1
apache_activemq,RandomForest,LIME,5424,6.498093097268387,6.66970448116776,0.2005749782133127,0.20587206292286275,0.17161138389937314,0.005297084709550067,1
apache_activemq,RandomForest,LIME,5437,5.837191700740334,6.390151353007287,0.18017510378469195,0.19724316799154495,0.5529596522669529,0.017068064206852987,2
apache_activemq,RandomForest,LIME,5283,8.516877759276364,9.46719887509819,0.2628882882164943,0.29222160712227313,0.9503211158218257,0.029333318905778828,2
apache_activemq,RandomForest,LIME,5441,12.298618412776577,12.074672993502006,0.3796183100598356,0.3727058440610258,-0.22394541927457112,-0.006912465998809783,2
apache_activemq,RandomForest,LIME,5438,6.537604248249679,6.557340634843222,0.20179455880851635,0.20240375680733752,0.01973638659354382,0.0006091979988211713,2
apache_activemq,RandomForest,LIME,5444,7.838386863352137,7.802176776620003,0.2419454832072616,0.24082779571822688,-0.036210086732133995,-0.001117687489034749,1
apache_activemq,RandomForest,LIME,5499,2.3343497091662253,3.200263801085059,0.07205377563074489,0.0987817245107372,0.8659140919188335,0.026727948879992327,2
apache_activemq,RandomForest,LIME,5523,1.9707910255648542,1.9887552076473114,0.06083190269801336,0.06138639851330469,0.017964182082457203,0.0005544958152913358,1
apache_activemq,RandomForest,LIME,5466,3.2487700285626047,3.3052028815197567,0.10027895383230673,0.10202085227589075,0.05643285295715206,0.0017418984435840176,2
apache_activemq,RandomForest,LIME,5528,1.5929876068496545,1.6141338668026748,0.049170341168590044,0.04982305736792444,0.02114625995302033,0.0006527161993343966,1
apache_activemq,RandomForest,LIME,5564,1.8035586951898694,1.8022356589336999,0.055669985113972524,0.055629147292124724,-0.0013230362561695852,-4.083782184779569e-05,1
apache_activemq,RandomForest,LIME,5583,2.1768523357910667,2.209512036183219,0.06719234447540241,0.06820044309703695,0.03265970039215205,0.0010080986216345457,1
apache_activemq,RandomForest,LIME,5577,1.2267249967780935,2.4961977676161204,0.03786500682883794,0.07704949826991438,1.269472770838027,0.03918449144107643,1
apache_activemq,RandomForest,LIME,5585,1.3885888077735402,1.3839774310286967,0.04286121569780339,0.04271887751084834,-0.004611376744843465,-0.00014233818695505725,1
apache_activemq,RandomForest,LIME,5594,3.5441906959777816,3.603032162224522,0.10939762804081724,0.11121387253498133,0.05884146624674047,0.0018162444941640834,2
apache_activemq,RandomForest,LIME,5630,1.736784172461234,1.7367072564279795,0.05360887299369056,0.05360649884615784,-7.691603325454821e-05,-2.374147532723207e-06,1
apache_activemq,RandomForest,LIME,5634,3.4545544203007092,3.4566519732680296,0.10663084803752534,0.10669559266866928,0.002097552967320393,6.474463114392967e-05,1
apache_activemq,RandomForest,LIME,5129,4.3904509641018645,3.5656481151269093,0.13551892736678925,0.1100599487115013,-0.8248028489749553,-0.025458978655287956,4
apache_activemq,RandomForest,LIME,5706,11.847463643206131,12.429154614622623,0.36569263113789713,0.38364753762697,0.5816909714164922,0.01795490648907284,2
apache_activemq,RandomForest,LIME,5717,1.6583078532229711,2.7107344154817734,0.051186564512438984,0.08367154612726184,1.0524265622588023,0.03248498161482285,2
apache_activemq,RandomForest,LIME,5729,2.3638897079696264,2.364880976657272,0.07296557922107881,0.07299617645821467,0.0009912686876454302,3.059723713586083e-05,1
apache_activemq,RandomForest,LIME,5599,4.735739960576237,5.483462514561204,0.14617687453813052,0.16925663543570557,0.7477225539849668,0.023079760897575043,3
apache_activemq,RandomForest,LIME,5760,2.0941631140110863,2.79385634156997,0.06463999740854254,0.0862372493673704,0.6996932275588836,0.02159725195882787,2
apache_activemq,RandomForest,LIME,5684,3.3028794735254285,3.341384638002049,0.10194913623537435,0.10313766530234707,0.03850516447662056,0.0011885290669727078,2
apache_activemq,RandomForest,LIME,5770,7.98958935284123,8.25320038287155,0.24661261179115682,0.25474942605553647,0.2636110300303196,0.008136814264379637,2
apache_activemq,RandomForest,LIME,5774,1.9710315659366586,2.9427336404370212,0.060839327396168943,0.09083260688683537,0.9717020745003626,0.029993279490666422,1
apache_activemq,RandomForest,LIME,5811,1.6501224716012446,1.7274389380842952,0.05093390843074394,0.053320416033549325,0.07731646648305057,0.0023865076028053837,1
apache_activemq,RandomForest,LIME,5815,1.257820948776869,1.2447251978035918,0.03882483762863034,0.03842061443163487,-0.013095750973277198,-0.000404223196995473,1
apache_activemq,RandomForest,LIME,5817,2.9808949869043753,2.9831042055247265,0.09201052341122277,0.09207871479752835,0.002209218620351283,6.81913863055726e-05,1
apache_activemq,RandomForest,LIME,5859,3.1692240248331203,3.1594828328479756,0.09782362767335952,0.09752294879096347,-0.00974119198514467,-0.0003006788823960412,1
apache_activemq,RandomForest,LIME,5790,2.1003927909355,2.1363217449030634,0.06483228725337647,0.06594129708924672,0.03592895396756335,0.0011090098358702367,2
apache_activemq,RandomForest,LIME,5871,2.0143690875799742,2.9470633513632407,0.06217701559627815,0.09096625096698274,0.9326942637832665,0.02878923537070459,2
apache_activemq,RandomForest,LIME,5909,3.2572395270910848,3.264320957850289,0.10054037967792007,0.10075896039059769,0.007081430759204199,0.00021858071267762268,1
apache_activemq,RandomForest,LIME,5784,5.913432094958664,6.033788615875493,0.18252839654003034,0.18624341049864399,0.12035652091682891,0.003715013958613651,2
apache_activemq,RandomForest,LIME,5985,5.4302405807176575,5.161903791321044,0.16761384761143952,0.15933116454097365,-0.26833678939661354,-0.008282683070465875,2
apache_activemq,RandomForest,LIME,5988,4.049353965843725,4.089275244314633,0.12499037353258631,0.12622261342815136,0.039921278470908206,0.001232239895565055,1
apache_activemq,RandomForest,LIME,5257,1.3593912126296295,1.2733177072702617,0.04195998099368183,0.0393031721108642,-0.08607350535936775,-0.00265680888281764,3
apache_activemq,RandomForest,LIME,5936,2.162793468690359,2.2733353447549933,0.06675839301914924,0.0701704608444999,0.11054187606463417,0.0034120678253506645,1
apache_activemq,RandomForest,LIME,6003,5.795625316982667,4.77218303677916,0.1788920848448579,0.14730175365358983,-1.0234422802035068,-0.0315903311912681,2
apache_activemq,RandomForest,LIME,5918,1.920992119778189,3.241793037127545,0.05929477260558578,0.10006359682154463,1.320800917349356,0.04076882421595885,3
apache_activemq,RandomForest,LIME,5319,1.5618453368953493,1.9168802962103868,0.04820908068430679,0.05916785399882165,0.3550349593150375,0.010958773314514857,4
apache_activemq,RandomForest,LIME,5481,7.536911746962529,8.147048083118575,0.23263992787024734,0.2514728501598793,0.6101363361560459,0.018832922289631952,4
apache_activemq,RandomForest,LIME,5486,2.259328608291038,2.236307298583905,0.06973811849128271,0.06902752561059727,-0.023021309707132787,-0.0007105928806854348,3
apache_activemq,RandomForest,LIME,5299,3.1288526814779902,3.475842374587429,0.09657749574008491,0.10728793787962991,0.34698969310943895,0.010710442139544992,5
apache_camel,RandomForest,LIME,18376,6.0033706629322054,5.983569505935847,0.12766092120568473,0.12723985209550942,-0.019801156996358316,-0.0004210691101753212,1
apache_camel,RandomForest,LIME,18909,5.274063397128841,5.265032900698613,0.11215229403239903,0.11196026166292602,-0.009030496430227686,-0.00019203236947299129,1
apache_camel,RandomForest,LIME,19102,2.213451434056813,1.7768291721679328,0.04706876602846999,0.03778404860866977,-0.4366222618888804,-0.009284717419800215,1
apache_camel,RandomForest,LIME,19125,1.4495179916932683,1.4688836726398922,0.030823817570743657,0.031235626337556312,0.01936568094662383,0.00041180876681265374,1
apache_camel,RandomForest,LIME,19142,2.0790253610562788,2.1104758509490025,0.04421021251298057,0.04487900322031867,0.0314504898927237,0.0006687907073380928,1
apache_camel,RandomForest,LIME,19184,5.225042303918896,5.2271381203698954,0.1111098666580022,0.1111544339309285,0.0020958164509998767,4.4567272926305154e-05,1
apache_camel,RandomForest,LIME,19236,1.4844107883404791,1.4974708638293395,0.0315658084977623,0.031843529358514436,0.013060075488860345,0.000277720860752143,1
apache_camel,RandomForest,LIME,19565,2.757969846177176,2.759197663899225,0.058647881496710935,0.05867399088596408,0.0012278177220488296,2.610938925314681e-05,1
apache_camel,RandomForest,LIME,20180,5.2522855797177215,5.244114729132273,0.11168919148740394,0.111515439378574,-0.008170850585448086,-0.0001737521088299476,1
apache_camel,RandomForest,LIME,20249,7.690010360372489,7.6932131132221535,0.16352710199088666,0.16359520812694567,0.0032027528496643143,6.810613605900142e-05,1
apache_camel,RandomForest,LIME,20570,8.230249535962292,8.230878784737827,0.17501522003314468,0.17502860092912173,0.0006292487755352738,1.3380895977052109e-05,1
apache_camel,RandomForest,LIME,18915,14.210515052949452,14.198913964076416,0.302184813219697,0.30193811752561545,-0.011601088873035792,-0.00024669569408153217,2
apache_camel,RandomForest,LIME,21934,12.828325615292684,12.829769625017107,0.2727927288725601,0.272823435557521,0.0014440097244232675,3.0706684960845476e-05,1
apache_camel,RandomForest,LIME,19634,4.08652340900512,4.090480396987525,0.08689940571941662,0.08698355057060042,0.003956987982404847,8.41448511838009e-05,2
apache_camel,RandomForest,LIME,21395,19.843498044052286,19.874232920704575,0.421969487222969,0.4226230605048589,0.030734876652289245,0.0006535732818899318,2
apache_camel,RandomForest,LIME,22227,3.0506729904785073,3.103371978018768,0.06487217700323851,0.0659928143374508,0.05269898754026059,0.0011206373342122823,1
apache_camel,RandomForest,LIME,21445,4.410173255083655,4.313043701978676,0.09378177894244252,0.0917163312261721,-0.0971295531049794,-0.0020654477162704173,3
apache_camel,RandomForest,LIME,19000,13.64513195929907,8.12126268773634,0.2901620129259909,0.17269762842919173,-5.523869271562729,-0.11746438449679918,3
apache_camel,RandomForest,LIME,18896,24.318386505739,24.662860724136415,0.5171274268849176,0.5244526277631095,0.34447421839741565,0.007325200878191873,4
apache_cassandra,RandomForest,LIME,6527,1.5947573731524398,3.475457885142396,0.049249640551891675,0.10732983868144767,1.880700511989956,0.058080198129556,1
apache_cassandra,RandomForest,LIME,6531,2.1439684312150233,4.42840740782503,0.06621049469313216,0.13675903101271916,2.2844389766100064,0.07054853631958702,1
apache_cassandra,RandomForest,LIME,6537,2.3331690414218116,2.7297531652705853,0.07205342867277784,0.08430082497076756,0.39658412384877373,0.012247396297989717,1
apache_cassandra,RandomForest,LIME,6532,2.4027852915133003,10.009344604689714,0.07420333269660999,0.30911073511234605,7.6065593131764135,0.23490740241573607,2
apache_cassandra,RandomForest,LIME,6543,1.7525956108883358,8.798220672089476,0.054124034992514745,0.27170854506857345,7.04562506120114,0.2175845100760587,2
apache_cassandra,RandomForest,LIME,6540,2.248434558417403,9.802587315241317,0.06943664012514553,0.30272561198437564,7.554152756823914,0.23328897185923014,2
apache_cassandra,RandomForest,LIME,6544,2.4283657678721604,10.217038870382996,0.07499331447504795,0.3155247941424437,7.788673102510836,0.2405314796673958,2
apache_cassandra,RandomForest,LIME,6547,1.159423914084157,8.71513721789033,0.035805578940849875,0.26914274394797477,7.555713303806173,0.2333371650071249,2
apache_cassandra,RandomForest,LIME,6550,1.6334377608771562,8.840449800925924,0.050444176613565046,0.2730126741173098,7.2070120400487685,0.22256849750374477,2
apache_cassandra,RandomForest,LIME,6551,3.6961598319628384,9.354404378261007,0.11414560372069199,0.2888847300299384,5.658244546298169,0.17473912630924643,1
